"ScheduleGId","ReportId","ScheduleACount","ScheduleATotal","ScheduleBCount","ScheduleBTotal","UnItemizedCount","UnItemizedTotal","UnItemizedInKindCount","UnItemizedInKindTotal","AllContributionsCount","AllContributionsTotal","ScheduleCTotal","ScheduleBTotalAgain","UnItemizedInKindTotalAgain","ScheduleDTotal","TotalInKindAndExpenditures","BeginningLoanBalance","LoansReceivedTotal","LoansReceivedAndExistingTotal","LoansPaidTotal","NewLoanBalance","ScheduleId","ReportUID"
"111206","123955","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{3387A204-0B1F-B02D-93DC-238FF19DC902}"
"111207","123956","3","595.00","0",".00","0",".00","0",".00","3","595.00",".00",".00",".00","7050.00","7050.00",".00",".00",".00",".00",".00","","{AC9AF3B6-E0AD-D1A9-CE5B-88A39B3F2F27}"
"111212","123962","0",".00","0",".00","420","570.00","0",".00","420","570.00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{5FD6FAC3-FBAB-E404-7D6A-9A97272B4995}"
"111213","123963","0",".00","0",".00","55","550.00","0",".00","55","550.00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{63712A85-DC87-A1C9-5E98-35A1A37580D0}"
"111215","123965","13","2026050.00","4","6893.03","7","195.00","0",".00","24","2033138.03",".00","6893.03",".00","1719854.02","1726747.05",".00",".00",".00",".00",".00","","{DCAE4FF9-6696-F2AF-1442-2A20064F6C2D}"
"111216","123968","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","12.00","12.00","13835.03",".00","13835.03",".00","13835.03","","{F55FDC3C-6D81-E96F-9669-2D5069D6087A}"
"111222","123974","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{317FAD63-D43A-B2CC-C687-6C090C7F7F24}"
"111230","123983","20","8765.00","0",".00","55","2535.00","0",".00","75",".00",".00",".00",".00","27003.92",".00",".00",".00",".00",".00",".00","","{FA5EDEB5-981E-A536-DF0C-7001D465AE2F}"
"111231","123985","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","250.00","250.00",".00",".00",".00",".00",".00","","{CC62CFEB-F5AE-E6A8-68D5-045678E0FA40}"
"111233","123988","87","6827.20","0",".00","2","200.00","0",".00","89","7027.20",".00",".00",".00","244604.52","244604.52",".00",".00",".00",".00",".00","","{1A5E8CB8-61F4-001C-9736-D2EA6A7892F0}"
"111234","123989","0",".00","0",".00","2","75.00","0",".00","2","75.00",".00",".00",".00","3750.00","3750.00",".00",".00",".00",".00",".00","","{306BA33C-9249-BB16-6828-C981A61823E3}"
"111235","123990","44","38165.85","2","2023.70","168","6013.77","1","50.00","215","46253.32",".00","2023.70","50.00","1680.90","3754.60",".00",".00",".00",".00",".00","","{0EC65605-DE7B-F89C-0A53-3B9FFC4DC37D}"
"111238","123994","1","500.00","0",".00","4","220.00","0",".00","5","720.00",".00",".00",".00","761.97","761.97",".00","375.00","375.00",".00","375.00","","{8BEBE032-1B4B-83DC-A189-9BD0390F0F43}"
"111241","123998","1","150.00","0",".00","2","55.00","0",".00","3","205.00",".00",".00",".00","17.09","17.09",".00",".00",".00",".00",".00","","{5BC805ED-DAA8-F599-4681-DB7574D12A0C}"
"111243","124000","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","15.00","15.00",".00",".00",".00",".00",".00","","{F8E0EDE4-E9F7-5555-F795-07BAB850135E}"
"111246","124003","4","57.00","0",".00","94","311.80","0",".00","98","368.80",".00",".00",".00","100.00","100.00",".00",".00",".00",".00",".00","","{0ECA95DF-776A-592D-8D91-8E688CC7F60F}"
"111251","124009","279","99708.52","0",".00","398","1568.86","0",".00","677","101277.38","1000.00",".00",".00","84750.00","84750.00",".00",".00",".00",".00",".00","","{FA9C20CE-AE43-77A9-ED86-2F92B46B07A8}"
"111253","124011","57","31215.85","6","2628.46","113","1187.86","3","160.00","179","35192.17",".00","2628.46","160.00","59601.49","62389.95",".00",".00",".00",".00",".00","","{AA5641EA-F204-79E1-9F94-5EEA5E865BEA}"
"111254","124012","3","1000.00","1","175.00","1","50.00","1","50.00","6","1275.00",".00","175.00","50.00","3472.90","3697.90",".00",".00",".00",".00",".00","","{1A85CB0C-40A9-6154-C58A-50E5320F5D66}"
"111255","124013","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","4200.00",".00","4200.00",".00","4200.00","","{C67AAB20-488C-62C4-A9DA-7485F3CFDED9}"
"111258","124016","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","3500.00","3500.00",".00",".00",".00",".00",".00","","{E6DC7F19-B1E8-810B-78D5-ADD3C09AAC7B}"
"111259","124017","10","2854.00","4","10895.44","11","753.00","7","234.50","32","14736.94",".00","10895.44","234.50","2259.40","13389.34",".00",".00",".00",".00",".00","","{9D6AF6B5-F786-44B4-51A2-7A49EA6723C2}"
"111260","124018","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","2146.84",".00","2146.84",".00","2146.84","","{E5CA606D-924C-0EFC-D120-D7E4596B7096}"
"111263","124022","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","11800.00",".00","11800.00",".00","11800.00","","{6D1D32B7-3724-EE31-B820-B4EBA2A79A11}"
"111264","124023","1","115.90","0",".00","29","77.50","0",".00","30","193.40",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{FE4D0ED0-3136-2459-BEAF-4C940169F638}"
"111266","124027","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","1556.85","1556.85",".00","2200.00","2200.00",".00","2200.00","","{9C35DA10-724D-7CBE-0008-F05BB9F6E835}"
"111271","124032","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{0F577D59-119B-DB29-4B4F-B8180285FDBD}"
"111272","124033","0",".00","0",".00","202","1208.25","0",".00","202","1208.25",".00",".00",".00",".00",".00","2955.24",".00","2955.24",".00","2955.24","","{19FB7393-79CF-C736-DD0F-FEBC3B4CFC3D}"
"111273","124034","78","65550.00","7","86846.50","25","2374.99","0",".00","110","154771.49",".00","86846.50",".00","44163.41","131009.91",".00",".00",".00",".00",".00","","{C59FB0EB-1428-A00A-245F-2E199E4E36DE}"
"111277","124038","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","40.00",".00","40.00",".00","40.00","","{4B451D59-0EDC-BD2E-4EB3-9B6DB2FB3ACA}"
"111278","124039","11","19100.00","0",".00","7","600.00","0",".00","18","19700.00",".00",".00",".00","28410.00","28410.00",".00",".00",".00",".00",".00","","{C1FC908E-D3AC-A395-42EB-3E1F3EC63F92}"
"111280","124041","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","470.00","470.00",".00",".00",".00",".00",".00","","{85935B36-1257-B7E9-6F40-D839486F19A9}"
"111281","124042","1","500.00","0",".00","0",".00","0",".00","1","500.00",".00",".00",".00","190.00","190.00",".00",".00",".00",".00",".00","","{017D9FC9-5450-526C-4217-C24A0143C063}"
"111284","124045","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00","500.00",".00","500.00",".00","500.00","","{6EA22C67-F989-7B50-B56C-0947F1C4EAB2}"
"111285","124046","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{1163B164-2073-99D7-33F5-4B75EAB64785}"
"111286","124047","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{4C1A316F-B082-DC38-F1E9-770648CE0277}"
